datetime,open,high,low,close,volume,openinterest
2023-01-01,100,101,99,100.5,1000000,0
2023-01-02,100,101,99,100.5,1000000,0
2023-01-03,100,101,99,100.5,1000000,0
2023-01-04,100,101,99,100.5,1000000,0
2023-01-05,100,101,99,100.5,1000000,0
2023-01-06,100,101,99,100.5,1000000,0
2023-01-07,100,101,99,100.5,1000000,0
2023-01-08,100,101,99,100.5,1000000,0
2023-01-09,100,101,99,100.5,1000000,0
2023-01-10,100,101,99,100.5,1000000,0
2023-01-11,100,101,99,100.5,1000000,0
2023-01-12,100,101,99,100.5,1000000,0
2023-01-13,100,101,99,100.5,1000000,0
2023-01-14,100,101,99,100.5,1000000,0
2023-01-15,100,101,99,100.5,1000000,0
2023-01-16,100,101,99,100.5,1000000,0
2023-01-17,100,101,99,100.5,1000000,0
2023-01-18,100,101,99,100.5,1000000,0
2023-01-19,100,101,99,100.5,1000000,0
2023-01-20,100,101,99,100.5,1000000,0
2023-01-21,100,101,99,100.5,1000000,0
2023-01-22,100,101,99,100.5,1000000,0
2023-01-23,100,101,99,100.5,1000000,0
2023-01-24,100,101,99,100.5,1000000,0
2023-01-25,100,101,99,100.5,1000000,0
2023-01-26,100,101,99,100.5,1000000,0
2023-01-27,100,101,99,100.5,1000000,0
2023-01-28,100,101,99,100.5,1000000,0
2023-01-29,100,101,99,100.5,1000000,0
2023-01-30,100,101,99,100.5,1000000,0
2023-01-31,100,101,99,100.5,1000000,0
2023-02-01,100,101,99,100.5,1000000,0
2023-02-02,100,101,99,100.5,1000000,0
2023-02-03,100,101,99,100.5,1000000,0
2023-02-04,100,101,99,100.5,1000000,0
2023-02-05,100,101,99,100.5,1000000,0
2023-02-06,100,101,99,100.5,1000000,0
2023-02-07,100,101,99,100.5,1000000,0
2023-02-08,100,101,99,100.5,1000000,0
2023-02-09,100,101,99,100.5,1000000,0
2023-02-10,100,101,99,100.5,1000000,0
2023-02-11,100,101,99,100.5,1000000,0
2023-02-12,100,101,99,100.5,1000000,0
2023-02-13,100,101,99,100.5,1000000,0
2023-02-14,100,101,99,100.5,1000000,0
2023-02-15,100,101,99,100.5,1000000,0
2023-02-16,100,101,99,100.5,1000000,0
2023-02-17,100,101,99,100.5,1000000,0
2023-02-18,100,101,99,100.5,1000000,0
2023-02-19,100,101,99,100.5,1000000,0
2023-02-20,100,101,99,100.5,1000000,0
2023-02-21,100,101,99,100.5,1000000,0
2023-02-22,100,101,99,100.5,1000000,0
2023-02-23,100,101,99,100.5,1000000,0
2023-02-24,100,101,99,100.5,1000000,0
2023-02-25,100,101,99,100.5,1000000,0
2023-02-26,100,101,99,100.5,1000000,0
2023-02-27,100,101,99,100.5,1000000,0
2023-02-28,100,101,99,100.5,1000000,0
2023-03-01,100,101,99,100.5,1000000,0
2023-03-02,100,101,99,100.5,1000000,0
2023-03-03,100,101,99,100.5,1000000,0
2023-03-04,100,101,99,100.5,1000000,0
2023-03-05,100,101,99,100.5,1000000,0
2023-03-06,100,101,99,100.5,1000000,0
2023-03-07,100,101,99,100.5,1000000,0
2023-03-08,100,101,99,100.5,1000000,0
2023-03-09,100,101,99,100.5,1000000,0
2023-03-10,100,101,99,100.5,1000000,0
2023-03-11,100,101,99,100.5,1000000,0
2023-03-12,100,101,99,100.5,1000000,0
2023-03-13,100,101,99,100.5,1000000,0
2023-03-14,100,101,99,100.5,1000000,0
2023-03-15,100,101,99,100.5,1000000,0
2023-03-16,100,101,99,100.5,1000000,0
2023-03-17,100,101,99,100.5,1000000,0
2023-03-18,100,101,99,100.5,1000000,0
2023-03-19,100,101,99,100.5,1000000,0
2023-03-20,100,101,99,100.5,1000000,0
2023-03-21,100,101,99,100.5,1000000,0
2023-03-22,100,101,99,100.5,1000000,0
2023-03-23,100,101,99,100.5,1000000,0
2023-03-24,100,101,99,100.5,1000000,0
2023-03-25,100,101,99,100.5,1000000,0
2023-03-26,100,101,99,100.5,1000000,0
2023-03-27,100,101,99,100.5,1000000,0
2023-03-28,100,101,99,100.5,1000000,0
2023-03-29,100,101,99,100.5,1000000,0
2023-03-30,100,101,99,100.5,1000000,0
2023-03-31,100,101,99,100.5,1000000,0
2023-04-01,100,101,99,100.5,1000000,0
2023-04-02,100,101,99,100.5,1000000,0
2023-04-03,100,101,99,100.5,1000000,0
2023-04-04,100,101,99,100.5,1000000,0
2023-04-05,100,101,99,100.5,1000000,0
2023-04-06,100,101,99,100.5,1000000,0
2023-04-07,100,101,99,100.5,1000000,0
2023-04-08,100,101,99,100.5,1000000,0
2023-04-09,100,101,99,100.5,1000000,0
2023-04-10,100,101,99,100.5,1000000,0
